gender,startage,country,birthyear
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
female,0,ETH,2015
